id,web_name,first_name,second_name,team,team_code,element_type,now_cost,cost_change_event,cost_change_start,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added,selected_by_percent,transfers_in_event,transfers_out_event,form,points_per_game,total_points,event_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,clearances_blocks_interceptions,recoveries,tackles,saves,saves_per_90,starts_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,ep_next,ep_this,dreamteam_count,value_form,value_season
1,Raya,David,Raya Martín,1,3,1,61,1,1,a,,,,,42.2,99178,30795,6.0,6.0,30,1,450,5,0,0,3,4,3,104,0.00,0.01,0.01,4.03,0.0,0.0,0.0,0.81,0,0.0,6,58,1,9,1.8,1.0,,,,6.0,6.0,1,1.0,4.9
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,3,1,49,0,-1,a,,,,,0.1,73,167,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
3,Meslier,Illan,Meslier,1,3,1,49,0,-1,a,,,,,0.0,36,78,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
4,Gabriel,Gabriel,dos Santos Magalhães,1,3,2,80,0,0,a,,,,,22.8,16087,49414,5.0,5.0,25,1,450,5,0,0,3,4,2,90,0.51,0.20,0.71,4.03,0.1,0.04,0.14,0.81,41,8.2,35,17,6,0,0.0,1.0,,,,5.0,5.0,0,0.6,3.1
5,J.Timber,Jurriën,Timber,1,3,2,65,0,0,a,100,100,,2026-07-23T12:01:23.272929Z,0.4,8426,2604,0.2,0.5,1,0,104,1,0,0,0,3,0,-3,0.00,0.03,0.03,2.18,0.0,0.03,0.03,1.89,5,4.33,2,7,3,0,0.0,0.87,,,,0.2,0.2,0,0.0,0.2
6,Saliba,William,Saliba,1,3,2,59,0,-1,i,0,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0.2,261,763,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,3,54,-1,-1,a,,,,,0.6,611,3902,1.5,2.2,9,0,271,4,0,0,2,1,0,37,0.16,0.23,0.39,1.02,0.05,0.08,0.13,0.34,14,4.65,5,8,1,0,0.0,1.33,,,,1.5,1.5,0,0.3,1.7
8,Calafiori,Riccardo,Calafiori,1,3,2,58,0,3,a,,,,,50.6,53372,45453,5.0,5.8,29,1,416,5,0,2,3,4,2,76,0.67,0.62,1.29,3.76,0.14,0.13,0.27,0.81,18,3.89,12,13,6,0,0.0,1.08,,,,5.0,5.0,1,0.9,5.0
9,Hincapie,Piero,Hincapié,1,3,2,52,-1,-3,a,,,,,0.9,958,4391,0.2,1.0,2,0,32,0,0,0,0,0,0,6,0.00,0.00,0.00,0.28,0.0,0.0,0.0,0.79,3,8.44,2,0,1,0,0.0,0.0,,,,0.2,0.2,0,0.0,0.4
10,White,Benjamin,White,1,3,2,55,0,0,d,75,100,Groin injury - 75% chance of playing,2026-09-20T19:30:08.247780Z,5.1,3080,49674,2.5,5.2,21,0,315,4,0,1,2,1,3,78,0.18,0.29,0.47,1.15,0.05,0.08,0.13,0.33,18,5.14,12,9,6,0,0.0,1.14,,,,1.9,2.5,0,0.5,3.8
11,Mosquera,Cristhian,Mosquera,1,3,2,53,0,-2,a,100,100,,2026-09-04T14:00:08.080310Z,1.7,801,6860,1.5,6.0,12,0,168,2,0,0,2,0,0,52,0.00,0.01,0.01,0.53,0.0,0.01,0.01,0.28,10,5.36,10,3,0,0,0.0,1.07,,,,1.5,1.5,0,0.3,2.3
12,Saka,Bukayo,Saka,1,3,3,95,0,0,a,,,,,13.5,70842,33264,5.8,6.4,32,2,416,5,3,0,3,4,4,137,3.22,0.98,4.20,3.58,0.7,0.21,0.91,0.77,31,6.71,8,17,6,0,0.0,1.08,1,2,2,5.8,5.8,0,0.6,3.4
13,Rice,Declan,Rice,1,3,3,74,0,-1,d,75,,Unspecified injury - 75% chance of playing,2026-09-21T13:00:08.896379Z,12.0,6844,47557,4.2,4.0,20,1,411,5,0,2,3,4,0,91,0.12,0.69,0.81,3.50,0.03,0.15,0.18,0.77,42,9.2,18,17,7,0,0.0,1.09,,1,1,3.2,4.2,0,0.6,2.7
14,Eze,Eberechi,Eze,1,3,3,63,0,-2,a,,,,,1.0,1422,4927,0.8,1.0,4,1,85,0,0,0,0,0,0,18,0.04,0.09,0.13,1.33,0.04,0.1,0.14,1.41,5,5.29,0,5,0,0,0.0,0.0,,,3,0.8,0.8,0,0.1,0.6
15,Ødegaard,Martin,Ødegaard,1,3,3,68,0,3,a,,,,,19.8,53875,66868,4.5,5.8,29,2,377,5,2,0,3,4,6,137,1.08,1.32,2.40,3.23,0.26,0.32,0.58,0.77,23,5.49,5,12,6,0,0.0,1.19,3,,4,4.5,4.5,1,0.7,4.3
16,Madueke,Noni,Madueke,1,3,3,62,0,-3,a,,,,,0.2,518,1167,0.2,1.0,2,0,23,0,0,0,0,0,0,11,0.00,0.05,0.05,0.15,0.0,0.2,0.2,0.59,3,11.74,0,2,1,0,0.0,0.0,,5,,0.2,0.2,0,0.0,0.3
17,Merino,Mikel,Merino Zazón,1,3,3,58,0,-2,a,,,,,0.4,455,2157,0.8,0.8,4,1,81,0,0,0,0,0,0,19,0.14,0.15,0.29,0.96,0.16,0.17,0.33,1.07,10,11.11,1,9,0,0,0.0,0.0,,,,0.8,0.8,0,0.1,0.7
18,Martinelli,Gabriel,Martinelli Silva,1,3,3,63,0,-2,u,0,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0.1,0,381,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,3,53,0,-2,a,,,,,0.6,340,2743,1.0,1.0,5,1,89,0,0,0,0,0,0,16,0.21,0.04,0.25,1.38,0.21,0.04,0.25,1.4,12,12.13,5,3,4,0,0.0,0.0,,,,1.0,1.0,0,0.2,0.9
20,Dowman,Max,Dowman,1,3,3,53,0,-2,a,,,,,0.1,319,411,0.2,1.0,1,1,9,0,0,0,0,0,0,4,0.00,0.08,0.08,0.31,0.0,0.8,0.8,3.1,0,0.0,0,0,0,0,0.0,0.0,,,,0.2,0.2,0,0.0,0.2
21,Nørgaard,Christian,Nørgaard,9,11,3,49,0,-1,i,0,0,Groin injury - Unknown return date,2026-08-15T20:00:06.779594Z,0.0,25,221,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
22,Nwaneri,Ethan,Nwaneri,1,3,3,54,0,-1,u,0,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0.0,0,36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,3,55,0,0,u,0,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0.0,0,27,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
24,Nelson,Reiss,Nelson,1,3,3,55,0,0,u,0,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0.0,0,12,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
25,Gyökeres,Viktor,Gyökeres,1,3,4,71,-1,-4,a,,,,,3.1,3950,12028,0.5,1.0,2,1,29,0,0,0,0,0,0,7,0.00,0.23,0.23,0.65,0.0,0.71,0.71,2.02,1,3.1,0,1,0,0,0.0,0.0,2,,,0.5,0.5,0,0.1,0.3
26,Havertz,Kai,Havertz,1,3,4,76,0,1,a,,,,,8.5,42283,34059,3.2,3.8,19,2,437,5,2,0,3,4,2,82,1.67,0.37,2.04,3.91,0.34,0.08,0.42,0.81,13,2.68,6,7,0,0,0.0,1.03,,,,3.2,3.2,0,0.4,2.5
27,G.Jesus,Gabriel,Fernando de Jesus,1,3,4,59,0,-1,u,0,0,Has joined FC Barcelona permanently,2026-09-02T16:00:28.475184Z,0.1,0,666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
28,Martinez,Emiliano,Martínez Romero,6,8,1,50,0,0,a,,,,,4.8,5079,16769,1.8,2.2,9,2,360,4,0,0,0,10,0,61,0.00,0.01,0.01,7.49,0.0,0.0,0.0,1.87,0,0.0,1,37,0,18,4.5,1.0,,,,1.8,1.8,0,0.4,1.8
29,M.Bizot,Marco,Bizot,2,7,1,45,0,0,i,0,0,Back injury - Expected back 10 Oct,2026-09-17T07:30:09.058151Z,0.1,42,751,0.2,1.0,1,0,90,1,0,0,0,4,0,1,0.00,0.00,0.00,3.77,0.0,0.0,0.0,3.77,0,0.0,2,6,0,3,3.0,1.0,,,,0.0,0.0,0,0.0,0.2
30,Digne,Lucas,Digne,2,7,2,45,0,0,u,0,0,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0.0,0,156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
31,Konsa,Ezri,Konsa Ngoyo,1,3,2,46,1,1,a,,,,,19.4,67813,31863,3.0,3.0,12,1,281,3,0,0,1,4,0,36,0.23,0.02,0.25,3.50,0.07,0.01,0.08,1.12,23,7.37,18,9,5,0,0.0,0.96,,,,3.0,3.0,0,0.7,2.6
32,Cash,Matty,Cash,2,7,2,44,0,-1,a,100,100,,2026-09-09T14:30:08.192142Z,4.9,1958,19291,1.2,1.5,6,-1,296,3,0,0,1,7,0,16,0.15,0.04,0.19,5.95,0.05,0.01,0.06,1.81,17,5.17,11,2,6,0,0.0,0.91,,1,,1.2,1.2,0,0.3,1.4
33,Mings,Tyrone,Mings,2,7,2,45,0,0,a,,,,,0.4,1187,966,2.0,2.5,10,3,261,2,0,0,1,4,0,43,0.20,0.02,0.22,4.43,0.07,0.01,0.08,1.53,24,8.28,20,7,4,0,0.0,0.69,,,,2.0,2.0,0,0.4,2.2
34,Pau,Pau,Torres,2,7,2,45,0,0,i,0,0,Hamstring injury - Expected back 10 Oct,2026-09-12T18:00:08.712707Z,0.3,23,2400,0.6,1.0,3,0,187,3,0,0,0,5,0,-4,0.00,0.01,0.01,4.79,0.0,0.0,0.0,2.31,9,4.33,8,9,1,0,0.0,1.44,,,,0.0,0.0,0,0.1,0.7
